Unable to find working sequences for clonotypes: 
>clonotype4034_consensus_1: Could not find Primer Overlap that worked
>clonotype4035_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype4037_consensus_2: Could not find Primer Overlap that worked
>clonotype4041_consensus_1: Could not find Primer Overlap that worked
>clonotype4065_consensus_1: Could not find Primer Overlap that worked
>clonotype4072_consensus_2: Could not find Primer Overlap that worked
>clonotype4082_consensus_1: Could not find Primer Overlap that worked
>clonotype4084_consensus_2: Could not find Primer Overlap that worked
>clonotype4105_consensus_1: Could not find Primer Overlap that worked
>clonotype4106_consensus_1: Could not find Primer Overlap that worked
>clonotype4137_consensus_1: Could not find Primer Overlap that worked
>clonotype4142_consensus_1: Could not find Primer Overlap that worked
>clonotype4144_consensus_1: Could not find Primer Overlap that worked
>clonotype4152_consensus_2: Could not find Primer Overlap that worked
>clonotype4156_consensus_1: Could not find Primer Overlap that worked
>clonotype4157_consensus_1: Could not find Primer Overlap that worked
>clonotype4165_consensus_1: Could not find Primer Overlap that worked
>clonotype4170_consensus_1: Could not find Primer Overlap that worked
>clonotype4198_consensus_1: Could not find Primer Overlap that worked
>clonotype4201_consensus_1: Could not find Primer Overlap that worked
>clonotype4204_consensus_1: Could not find Primer Overlap that worked
>clonotype4215_consensus_1: Could not find Primer Overlap that worked
>clonotype4218_consensus_1: Could not find Primer Overlap that worked
>clonotype4221_consensus_1: Could not find Primer Overlap that worked
>clonotype4224_consensus_1: Could not find Primer Overlap that worked
>clonotype4225_consensus_1: Could not find Primer Overlap that worked
>clonotype4228_consensus_1: Could not find Primer Overlap that worked
>clonotype4243_consensus_1: Could not find Primer Overlap that worked
>clonotype4244_consensus_1: Could not find Primer Overlap that worked
>clonotype4246_consensus_1: Could not find Primer Overlap that worked
>clonotype4247_consensus_1: Could not find Primer Overlap that worked
>clonotype4255_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype4257_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype4260_consensus_2: Could not find Primer Overlap that worked
>clonotype4268_consensus_1: Could not find Primer Overlap that worked
>clonotype4277_consensus_1: Could not find Primer Overlap that worked
>clonotype4285_consensus_1: Could not find Primer Overlap that worked
>clonotype4289_consensus_1: Could not find Primer Overlap that worked
>clonotype4305_consensus_1: Could not find Primer Overlap that worked
>clonotype4316_consensus_1: Could not find Primer Overlap that worked
>clonotype4331_consensus_1: Could not find Primer Overlap that worked
>clonotype4335_consensus_1: Could not find Primer Overlap that worked
>clonotype4337_consensus_2: Could not find Primer Overlap that worked
>clonotype4341_consensus_1: Could not find Primer Overlap that worked
>clonotype4342_consensus_3: Could not find TRBV Overlap Primer that worked
>clonotype4389_consensus_2: Could not find Primer Overlap that worked
>clonotype4394_consensus_1: Could not find Primer Overlap that worked
>clonotype4395_consensus_1: Could not find Primer Overlap that worked
>clonotype4396_consensus_2: Could not find Primer Overlap that worked
>clonotype4406_consensus_2: Could not find Primer Overlap that worked
>clonotype4407_consensus_1: Could not find Primer Overlap that worked
>clonotype4415_consensus_2: Could not find Primer Overlap that worked
>clonotype4417_consensus_1: Could not find Primer Overlap that worked
>clonotype4420_consensus_2: Could not find Primer Overlap that worked
>clonotype4445_consensus_1: Could not find Primer Overlap that worked
>clonotype4452_consensus_2: Could not find Primer Overlap that worked
>clonotype4460_consensus_2: Could not find Primer Overlap that worked
>clonotype4475_consensus_1: Could not find Primer Overlap that worked
>clonotype4476_consensus_2: Could not find Primer Overlap that worked
>clonotype4479_consensus_1: Could not find Primer Overlap that worked
>clonotype4521_consensus_1: Could not find Primer Overlap that worked
>clonotype4537_consensus_1: Could not find Primer Overlap that worked
>clonotype4559_consensus_2: Could not find Primer Overlap that worked
>clonotype4607_consensus_1: Could not find Primer Overlap that worked
>clonotype4609_consensus_1: Could not find Primer Overlap that worked
>clonotype4611_consensus_1: Could not find Primer Overlap that worked
>clonotype4636_consensus_2: Could not find TRBV Overlap Primer that worked
>clonotype4637_consensus_1: Could not find Primer Overlap that worked
>clonotype4647_consensus_3: Could not find TRBV Overlap Primer that worked
>clonotype4656_consensus_1: Could not find Primer Overlap that worked
>clonotype4667_consensus_1: Could not find Primer Overlap that worked
>clonotype4705_consensus_1: Could not find Primer Overlap that worked
>clonotype4723_consensus_1: Could not find Primer Overlap that worked
>clonotype4740_consensus_1: Could not find Primer Overlap that worked
>clonotype4741_consensus_1: Could not find Primer Overlap that worked
>clonotype4770_consensus_1: Could not find Primer Overlap that worked
>clonotype4772_consensus_1: Could not find Primer Overlap that worked
>clonotype4791_consensus_1: Could not find Primer Overlap that worked
>clonotype4864_consensus_1: Could not find Primer Overlap that worked
>clonotype4873_consensus_1: Could not find Primer Overlap that worked
>clonotype4876_consensus_1: Could not find Primer Overlap that worked
>clonotype4885_consensus_1: Could not find Primer Overlap that worked
>clonotype4902_consensus_1: Could not find Primer Overlap that worked
>clonotype4903_consensus_1: Could not find Primer Overlap that worked
>clonotype4924_consensus_1: Could not find Primer Overlap that worked
>clonotype4924_consensus_2: Could not find Primer Overlap that worked
>clonotype4947_consensus_1: Could not find Primer Overlap that worked
>clonotype4948_consensus_1: Could not find Primer Overlap that worked
>clonotype4955_consensus_1: Could not find Primer Overlap that worked
>clonotype4956_consensus_1: Could not find Primer Overlap that worked
>clonotype4957_consensus_2: Could not find Primer Overlap that worked
>clonotype4958_consensus_2: Could not find Primer Overlap that worked
